#{"t_start": 1764916300.63553, "env_id": "None"}
r,l,t
-137.815769,100,2415.301469
-113.854387,100,2419.310226
-74.136974,100,2423.29926
-120.444989,100,2428.329015
-140.805255,100,2433.310703
-132.507834,100,2437.415213
-75.122232,100,2442.330479
-119.95051,100,2447.381994
-123.005993,100,2451.390492
-133.320187,100,2456.381062
56.69003,83,2460.22464
-109.762081,100,2465.347747
-82.087177,100,2469.402171
-589.604042,100,2473.585219
128.77399,23,2477.55557
-137.870324,100,2480.409481
-77.555042,100,2485.401202
-124.776104,100,2490.447137
-153.772659,100,2494.405387
-210.226342,100,2499.387399
-217.197723,100,2504.40642
-175.538182,100,2509.387927
-132.277747,100,2513.397694
-100.581727,100,2516.389653
-208.252487,100,2521.48872
-200.474303,100,2525.470586
-136.000629,100,2530.404455
-153.639368,100,2535.412913
-118.23004,100,2539.505766
-121.572868,100,2544.448148
-150.987774,100,2548.504372
-93.548762,100,2551.517059
110.180823,35,2553.7645
81.844557,54,2555.982049
-191.86711,100,2560.79224
-90.17778,100,2565.462851
-104.155032,100,2569.440574
-101.143398,100,2573.431242
-82.05963,100,2578.4452
-136.427115,100,2583.44648
-120.096607,100,2588.522666
-199.374132,100,2593.545896
-213.486742,100,2598.624103
-117.408165,100,2603.472077
-110.80481,100,2606.46157
-169.365229,100,2611.484396
-73.339035,100,2614.486601
-83.474206,100,2618.485538
-140.342376,100,2621.466208
-171.988955,100,2626.478966
-114.977035,100,2631.481047
-109.28465,100,2636.477697
-198.549197,100,2640.482558
-194.01107,100,2644.716001
-159.921997,100,2649.486495
-197.545476,100,2654.593478
-128.635801,100,2659.511619
-116.586784,100,2664.55391
-112.164249,100,2668.493561
-130.400264,100,2673.519558
-226.286399,100,2678.521831
-113.417711,100,2683.512137
-121.182862,100,2688.532522
-171.169863,100,2693.760707
-200.510972,100,2698.539901
-133.172963,100,2703.54577
-109.006568,100,2708.553296
-161.293631,100,2712.559666
-108.501471,100,2717.571295
-160.574116,100,2721.567227
-156.796847,100,2726.549467
-96.947998,100,2731.556605
-118.696353,100,2736.560512
-217.445548,100,2741.561581
-199.462069,100,2746.582407
-116.598808,100,2751.583137
-101.071435,100,2756.577062
-199.747187,100,2760.590262
-124.761209,100,2765.585247
-153.556715,100,2770.599977
-115.834377,100,2775.604071
-67.599459,100,2780.583922
-143.481026,100,2784.605904
82.777993,57,2789.157573
-126.611251,100,2793.607092
-170.118477,100,2798.627357
-170.194344,100,2803.621872
-361.985134,100,2809.533571
-120.176381,100,2813.659353
-263.476969,100,2819.41878
-136.365908,100,2823.630743
-146.113988,100,2828.639371
-194.186633,100,2833.650816
-138.356773,100,2838.663195
-140.679351,100,2843.652845
-177.176304,100,2847.683996
-224.400096,100,2852.757226
-173.938862,100,2856.637903
-223.483713,100,2860.983849
-157.715603,100,2863.676203
-189.634582,100,2868.68012
-153.553303,100,2872.727228
-230.734351,100,2876.740393
-153.077761,100,2880.707797
-339.539718,100,2885.751788
-121.231615,100,2889.708787
-167.784072,100,2894.745105
-257.874889,100,2898.773131
-279.455098,100,2903.810674
-199.921119,100,2908.714993
-366.575578,100,2912.764655
-365.408379,100,2916.75326
57.168292,70,2921.414069
-122.542663,100,2924.779235
-138.743122,100,2929.791449
-220.228958,100,2934.73609
-223.159424,100,2937.890294
-192.212612,100,2942.742229
-132.072703,100,2947.819686
-208.709156,100,2951.75043
-135.106966,100,2956.799824
-264.248954,100,2962.000776
-253.023949,100,2965.972871
-120.408361,100,2969.711728
-144.612588,100,2973.813296
-123.827631,100,2976.838458
-133.817292,100,2980.805296
