#{"t_start": 1765077872.44755, "env_id": "None"}
r,l,t
-190.554023,100,926.135205
-203.583033,100,931.228831
-156.785034,100,936.124333
-181.083168,100,941.153222
-193.725206,100,945.064358
-185.159795,100,950.169641
-173.800561,100,955.105832
-204.357375,100,960.131907
-177.182085,100,965.140332
-184.174999,100,970.065639
-183.316737,100,975.077474
-178.105269,100,980.178084
-168.241801,100,985.157012
-180.920277,100,990.18491
-179.470838,100,995.181853
-160.641276,100,1000.218565
-171.699138,100,1005.158562
-186.419709,100,1010.215301
-201.362061,100,1015.154304
-195.094354,100,1020.180768
-176.563847,100,1024.193061
-187.963529,100,1029.188813
-187.503944,100,1032.124617
-189.995946,100,1037.194625
-169.249884,100,1042.207481
-181.275979,100,1047.203643
-168.359484,100,1051.185584
-188.235493,100,1056.142377
-192.916998,100,1061.217567
-179.644114,100,1066.23241
-182.080226,100,1071.21903
-186.775318,100,1076.29804
-185.230202,100,1079.251002
-197.484839,100,1082.173844
-195.677743,100,1087.264654
-181.447221,100,1092.19511
-189.908602,100,1097.300596
-212.186538,100,1102.22024
-172.107008,100,1107.294147
-194.571324,100,1112.29758
-190.212178,100,1117.425978
-191.47338,100,1121.290859
-183.15446,100,1126.211417
-192.823321,100,1130.276146
-184.382018,100,1133.304835
-176.606035,100,1136.283286
-176.518437,100,1141.294334
-190.686691,100,1144.280723
-190.672769,100,1147.29902
-235.904244,100,1150.761441
-204.40951,100,1153.236953
-197.301254,100,1156.239703
-172.293166,100,1160.340882
-201.7244,100,1164.316467
-197.353133,100,1168.286555
-218.567584,100,1173.329141
-172.775629,100,1178.339066
-192.075248,100,1183.340131
-196.988225,100,1187.406289
-208.064199,100,1192.355091
-189.286549,100,1197.391636
-195.630768,100,1201.418597
-192.928792,100,1206.414886
-197.239169,100,1211.496848
-180.789006,100,1216.45581
-190.557971,100,1221.514166
-212.358898,100,1226.418992
-207.781149,100,1231.439048
-180.868516,100,1236.552689
-179.909216,100,1241.5225
-180.819186,100,1245.429328
-196.858242,100,1250.525172
-191.117589,100,1255.548566
-183.461848,100,1260.463052
-218.246912,100,1265.374088
-197.988043,100,1270.565613
-197.931927,100,1275.427235
-201.606185,100,1280.421423
-182.660404,100,1285.469598
-184.74382,100,1290.36434
-185.620941,100,1295.455881
-175.17827,100,1300.537878
-176.719103,100,1304.425464
-160.295701,100,1309.503303
-204.761116,100,1313.476874
-202.622772,100,1318.543225
-181.970036,100,1323.520225
-203.609207,100,1328.506535
-202.740641,100,1332.50502
-189.839014,100,1337.537032
-187.497372,100,1342.446346
-227.734103,100,1347.510972
-178.177601,100,1352.484085
-181.803499,100,1357.52574
-176.208483,100,1362.497747
-180.452077,100,1366.496922
-184.133089,100,1371.558621
-175.111173,100,1376.538773
-186.482815,100,1381.537558
-169.320235,100,1386.550774
-211.389988,100,1391.609953
-193.474695,100,1396.529482
-240.592082,100,1399.548429
-176.44976,100,1402.639876
-185.519866,100,1405.546669
-182.492788,100,1409.596689
-209.191284,100,1413.57555
-211.633278,100,1418.510587
-199.863659,100,1423.588909
-169.65737,100,1428.660944
-201.657151,100,1433.571686
-190.126098,100,1437.607821
-196.593902,100,1442.522996
-187.273451,100,1447.595737
-175.891279,100,1452.58011
-201.026992,100,1456.704268
-179.86684,100,1461.645892
-210.32669,100,1465.548758
-188.019629,100,1470.5831
-198.269177,100,1474.654932
-178.136035,100,1478.636457
-183.434652,100,1483.784264
-191.03743,100,1487.674227
-180.903327,100,1492.682526
-204.448645,100,1496.794902
-167.296444,100,1500.780653
-178.240099,100,1504.747388
-180.646254,100,1507.832465
-188.023595,100,1512.769268
-202.415508,100,1516.799562
-180.281765,100,1520.67256
-182.047204,100,1524.885229
-178.807041,100,1529.816236
-182.887256,100,1534.789151
-167.954576,100,1538.85265
-175.148447,100,1543.840919
-177.514508,100,1548.930395
-176.908668,100,1553.793607
-178.010268,100,1558.871067
-175.936658,100,1563.842956
-179.221821,100,1567.857781
-177.359667,100,1571.892336
-171.604881,100,1574.848072
-175.08364,100,1578.862022
-160.416733,100,1583.847228
-199.460147,100,1588.846419
-165.430218,100,1592.80508
-170.663138,100,1597.900752
-180.849317,100,1602.868475
-188.947558,100,1608.000139
-178.014922,100,1611.815175
-173.199969,100,1616.888159
-201.564803,100,1621.759259
-177.502071,100,1626.738231
-176.897944,100,1630.805702
-177.941674,100,1635.837581
-181.280201,100,1640.792845
-180.453192,100,1644.80264
-184.19639,100,1649.792356
-179.895395,100,1652.796565
-179.975471,100,1657.823517
-212.708339,100,1661.916425
-177.165045,100,1666.888025
-174.674796,100,1669.778062
-182.526077,100,1672.858013
-185.983578,100,1676.836294
-185.203136,100,1681.904171
-190.502522,100,1685.879074
-184.85808,100,1689.920096
-185.535535,100,1693.83062
-184.595717,100,1696.88601
-199.671647,100,1701.883391
-173.337051,100,1705.867132
-168.317662,100,1710.867443
-185.70997,100,1715.829677
-183.371706,100,1718.889416
-190.263005,100,1723.909804
-173.654311,100,1728.932589
-173.768574,100,1733.934368
-190.008032,100,1738.904523
-192.277298,100,1743.940277
-193.613806,100,1748.918938
-172.391166,100,1754.093303
-187.861196,100,1756.908132
-176.163118,100,1761.94393
-187.727127,100,1765.892698
-204.451589,100,1771.00121
-172.585285,100,1775.015639
-172.753218,100,1780.038724
4.909577,71,1784.625238
-172.039277,100,1789.046985
-178.421548,100,1794.094042
-193.659934,100,1799.096488
-207.230016,100,1804.102877
-171.572697,100,1809.077348
-153.90627,100,1814.19026
-181.577899,100,1819.064194
-166.314242,100,1824.106183
-195.037282,100,1828.107182
-183.470496,100,1832.116986
-175.568642,100,1836.099496
-185.757456,100,1840.055725
-179.746271,100,1845.190824
-201.98257,100,1850.137832
-188.920014,100,1853.173096
-177.753389,100,1858.17987
-180.996903,100,1863.224739
-184.430115,100,1867.069152
-172.371356,100,1871.122666
-192.17618,100,1876.058448
-176.906647,100,1881.038246
-173.182099,100,1886.107512
-187.976216,100,1891.123966
-185.530833,100,1896.057593
-164.77422,100,1901.090609
-187.633928,100,1906.128334
-178.089454,100,1911.155388
-164.906962,100,1915.1121
-168.873491,100,1920.158306
-193.378808,100,1925.125009
-179.553943,100,1930.164135
-170.849887,100,1935.089934
-186.440595,100,1940.124366
-188.18788,100,1945.172092
-165.662035,100,1950.112768
-188.934796,100,1955.127239
-165.103595,100,1960.222347
-184.273492,100,1965.203502
-181.536955,100,1970.153012
-189.671966,100,1975.135535
-197.570022,100,1980.157268
-176.976393,100,1985.204331
-183.688363,100,1990.172988
-179.57427,100,1995.19383
-169.849138,100,1998.199606
-187.478213,100,2003.192927
-190.505354,100,2008.248472
-177.498501,100,2011.138613
-184.909665,100,2016.195125
-195.981619,100,2019.2264
-152.458829,100,2022.312169
-177.968039,100,2026.372274
-187.969147,100,2031.247877
-180.787219,100,2035.306338
-182.252558,100,2040.32588
-198.68962,100,2044.243558
-141.858539,100,2048.285934
-185.317823,100,2053.277521
-161.716942,100,2058.40888
-186.529771,100,2063.299936
-180.897234,100,2068.239299
-182.587977,100,2071.303897
-165.168012,100,2074.398787
-197.357345,100,2079.332882
-163.826639,100,2084.304631
-183.272929,100,2089.361223
-183.544936,100,2094.288706
-187.946036,100,2099.32015
-193.516033,100,2103.249573
-174.62899,100,2108.294779
-181.712444,100,2113.291542
-182.415873,100,2118.419226
-202.06281,100,2122.33962
